official_code,script_code,origin,card_type
73964868,73964868,ygoprodeck_nine_deck_batch,8388641
2609443,2609443,ygoprodeck_nine_deck_batch,8388641
29510428,29510428,ygoprodeck_nine_deck_batch,8388641
93039339,93039339,ygoprodeck_nine_deck_batch,8388641
71612253,71612253,ygoprodeck_nine_deck_batch,8388641
46593546,46593546,ygoprodeck_nine_deck_batch,25165857
98642179,98642179,ygoprodeck_nine_deck_batch,67108897
74644400,74644400,ygoprodeck_nine_deck_batch,4129
3431737,3431737,ygoprodeck_nine_deck_batch,33
39015,39015,ygoprodeck_nine_deck_batch,33
86098176,86098176,ygoprodeck_nine_deck_batch,4129
23431858,23431858,ygoprodeck_nine_deck_batch,33
96540807,96540807,ygoprodeck_nine_deck_batch,33
1665819,1665819,ygoprodeck_nine_deck_batch,33
59323650,59323650,ygoprodeck_nine_deck_batch,33
53927851,53927851,ygoprodeck_nine_deck_batch,33
94103142,94103142,ygoprodeck_nine_deck_batch,65538
80280737,80280737,ygoprodeck_nine_deck_batch,4
89932017,89932017,ygoprodeck_nine_deck_batch,4
76359406,76359406,ygoprodeck_nine_deck_batch,8225
64880894,64880894,ygoprodeck_nine_deck_batch,8225
80696379,80696379,ygoprodeck_nine_deck_batch,8225
37192109,37192109,ygoprodeck_nine_deck_batch,8225
52644170,52644170,ygoprodeck_nine_deck_batch,8225
95526884,95526884,ygoprodeck_nine_deck_batch,8225
78144171,78144171,ygoprodeck_nine_deck_batch,8388641
32519092,32519092,ygoprodeck_nine_deck_batch,67108865
70333910,70333910,ygoprodeck_nine_deck_batch,33
33854624,33854624,ygoprodeck_nine_deck_batch,33
72656408,72656408,ygoprodeck_nine_deck_batch,33
31443476,31443476,ygoprodeck_nine_deck_batch,65538
87607094,87607094,ygoprodeck_nine_deck_batch,1048580
62265044,62265044,ygoprodeck_nine_deck_batch,524290
36668118,36668118,ygoprodeck_nine_deck_batch,524290
38129297,38129297,ygoprodeck_nine_deck_batch,2
98937206,98937206,ygoprodeck_nine_deck_batch,33
67127799,67127799,ygoprodeck_nine_deck_batch,4129
68464358,68464358,ygoprodeck_nine_deck_batch,4129
25554552,25554552,ygoprodeck_nine_deck_batch,33
51548207,51548207,ygoprodeck_nine_deck_batch,33
67748760,67748760,ygoprodeck_nine_deck_batch,33
89812483,89812483,ygoprodeck_nine_deck_batch,4
80870883,80870883,ygoprodeck_nine_deck_batch,33554465
88264978,88264978,ygoprodeck_nine_deck_batch,33
6637331,6637331,ygoprodeck_nine_deck_batch,33
24299458,24299458,ygoprodeck_nine_deck_batch,65538
81439173,81439173,ygoprodeck_nine_deck_batch,2
48355999,48355999,ygoprodeck_nine_deck_batch,4129
27572350,27572350,ygoprodeck_nine_deck_batch,8225
16886617,16886617,ygoprodeck_nine_deck_batch,33554465
89810518,89810518,ygoprodeck_nine_deck_batch,33
89594399,89594399,ygoprodeck_nine_deck_batch,4129
43002864,43002864,ygoprodeck_nine_deck_batch,33
42090294,42090294,ygoprodeck_nine_deck_batch,33
57647597,57647597,ygoprodeck_nine_deck_batch,4129
91580102,91580102,ygoprodeck_nine_deck_batch,262146
17000165,17000165,ygoprodeck_nine_deck_batch,524290
90576781,90576781,ygoprodeck_nine_deck_batch,2
81615450,81615450,ygoprodeck_nine_deck_batch,2
21179143,21179143,ygoprodeck_nine_deck_batch,2
21179144,,runtime_dependency,16401
23837055,,runtime_dependency,16401
97565997,97565997,ygoprodeck_nine_deck_batch,33
61160289,61160289,ygoprodeck_nine_deck_batch,33
35998832,35998832,ygoprodeck_nine_deck_batch,33
62405028,62405028,ygoprodeck_nine_deck_batch,33
36010310,36010310,ygoprodeck_nine_deck_batch,33
60448701,60448701,ygoprodeck_nine_deck_batch,524290
24050692,24050692,ygoprodeck_nine_deck_batch,2
78789356,78789356,ygoprodeck_nine_deck_batch,65538
17189677,17189677,ygoprodeck_nine_deck_batch,2
20295753,20295753,ygoprodeck_nine_deck_batch,33
46518210,46518210,ygoprodeck_nine_deck_batch,33
64973456,64973456,ygoprodeck_nine_deck_batch,2
96203584,96203584,ygoprodeck_nine_deck_batch,131074
